address	comment
0x00000F84	TEXTITT
0x00000F85	TEXTITT
0x00000F86	TEXTITT
0x00000F87	TEXTITT
0x00000F88	TEXTITT
0x00000F89	TEXTITT
0x00000F95	FILL
0x00000F96	FILL
0x00000F97	FILL
0x00000F98	FILL
0x00000F99	FILL
0x00000F9A	FILL
0x00000FB1	DEC
0x00000FC4	LDL
0x00000FCA	LDL
0x00000FE3	LDL
0x00000FE7	READAUD
0x00000FE8	READAUD
0x00000FEA	LDL
0x0000107F	CLRI
0x00001080	CLRI
0x00001091	READADJ
0x00001092	READADJ
0x00001155	LDL
0x0000116C	LDP @BUTTON_STATUS
0x0000116E	SETDP
0x00001175	CLRI
0x00001176	LDP @991030h
0x00001179	SETDP
0x0000117A	RS
0x0000117B	LDL
0x00001189	IWINDOW
0x0000118A	IWINDOW
0x0000118B	IWINDOW
0x0000118C	IWINDOW
0x0000118D	IWINDOW
0x0000118F	TEXTITT
0x00001190	TEXTITT
0x00001191	TEXTITT
0x00001192	TEXTITT
0x000011B1	IWINDOW
0x000011B2	IWINDOW
0x000011B3	IWINDOW
0x000011B4	IWINDOW
0x000011B5	IWINDOW
0x000011B7	TEXTITT
0x000011B8	TEXTITT
0x000011B9	TEXTITT
0x000011BA	TEXTITT
0x000012DE	TEXTITT
0x000012DF	TEXTITT
0x000012E0	TEXTITT
0x000012E1	TEXTITT
0x000012E2	TEXTITT
0x000012E3	TEXTITT
0x000012E4	TEXTITT
0x000012E5	TEXTITT
0x000012E6	TEXTITT
0x000012E7	TEXTITT
0x000012E8	TEXTITT
0x000012E9	TEXTITT
0x000012EA	RECT
0x000012EB	RECT
0x000012EC	RECT
0x000012ED	RECT
0x000012EE	RECT
0x000012EF	RECT
0x000012F0	RECT
0x000012F1	RECT
0x000012F2	RECT
0x000012F3	RECT
0x000012F4	RECT
0x000012F5	RECT
0x000012F6	RECT
0x000012F7	RECT
0x000012F8	RECT
0x000012F9	RECT
0x000012FA	RECT
